"title","creator","type","description","release_date","language"
"And She Could Be Next","Grace Lee","Documentary","Shot through an American lens, And She Could Be Next (2020) comes from filmmaker Grace Lee and asks viewers to sit with facts, context, and human detail.","2020-06-01","English"
"Andhadhun","Sriram Raghavan","Movie","Andhadhun (2018) is an Indian film directed by Sriram Raghavan, balancing character drama with memorable set pieces and tone.","2018-10-05","Hindi"
"Animal Crossing: New Horizons","Nintendo","Video game","Animal Crossing: New Horizons (2020) is a game by Nintendo, combining systems, world-building, and play feel associated with Japanese studios and design traditions.","2020-03-20","Japanese / English"
"Antifragile","LE SSERAFIM","Music","Antifragile (2022) is a recorded project by LE SSERAFIM, showcasing melody, production, and performance within the South Korean popular-music landscape.","2022-10-17","Korean"
"ARRahman","A. R. Rahman","Music","ARRahman (2008), from A. R. Rahman, collects tracks that highlight tone, arrangement, and era-defining studio choices in Indian pop and soundtrack culture.","2008-08-15","Hindi / Tamil"
"Asian Americana","Quincy Surasmith","Podcast","Asian Americana is a show by Quincy Surasmith, mixing interviews, commentary, and stories aimed at listeners curious about culture, identity, and community.","2016-01-01","English"
"Asian Americans","Grace Lee","Documentary","Asian Americans (2020) is an American documentary by Grace Lee, focusing on real people and events with an observational, journalistic edge.","2020-05-11","English"
"Asian Boss Girl","Helen Wu, Janet Wang, and Melody Cheng","Podcast","Asian Boss Girl is a show from Helen Wu, Janet Wang, and Melody Cheng, mixing interviews, commentary, and stories aimed at listeners curious about culture, identity, and community.","2018-01-01","English"
"Asian Not Asian","Youngmi Mayer and Brian Park","Podcast","Asian Not Asian is a show from Youngmi Mayer and Brian Park, mixing interviews, commentary, and stories aimed at listeners curious about culture, identity, and community.","2018-01-01","English"
"Aspirants","Apoorv Singh Karki","TV Show","Aspirants follows an ensemble through shifting relationships and plot turns; by Apoorv Singh Karki, it represents a notable Indian entry in contemporary TV.","2021-04-07","Hindi"
"Attack on Titan","Tetsuro Araki","Anime","This Japanese anime from 2013, Attack on Titan, is associated with Tetsuro Araki and mixes action, emotion, and distinctive art direction.","2013-04-07","Japanese"
"Audition","Takashi Miike","Movie","Audition (1999) is a Japanese film directed by Takashi Miike, balancing character drama with memorable set pieces and tone.","1999-10-06","Japanese"
"Avatar: The Last Airbender","Michael Dante DiMartino","TV Show","Avatar: The Last Airbender (2005 debut) is an American series by Michael Dante DiMartino, built for long-form storytelling, recurring characters, and serialized stakes.","2005-02-21","English"
"Baahubali 2: The Conclusion","S. S. Rajamouli","Movie","Baahubali 2: The Conclusion (2017) is an Indian film directed by S. S. Rajamouli, balancing character drama with memorable set pieces and tone.","2017-04-28","Telugu"
"Baahubali: The Beginning","S. S. Rajamouli","Movie","Baahubali: The Beginning (2015) is an Indian film by S. S. Rajamouli, following characters through conflict and consequence with a distinctive visual and narrative voice.","2015-07-10","Telugu"
"Babel","R. F. Kuang","Book","Babel (2022) is a novel by R. F. Kuang that weaves personal voice with history, family, and place across its chapters.","2022-08-23","English"
"Bad Asian Podcast","David Nguyen and Imran G","Podcast","Bad Asian Podcast is a show from David Nguyen and Imran G, mixing interviews, commentary, and stories aimed at listeners curious about culture, identity, and community.","2019-01-01","English"
"Bad Axe","David Siev","Documentary","Shot through an American lens, Bad Axe (2022) comes from filmmaker David Siev and asks viewers to sit with facts, context, and human detail.","2022-11-11","English"
"Bad Genius","Nattawut Poonpiriya","Movie","Released in 2017, Bad Genius is a Thai feature shaped by Nattawut Poonpiriya, pairing strong performances with a clear sense of place and pacing.","2017-05-03","Thai"
"Bad Mode","Utada Hikaru","Music","Bad Mode (2022) is a recorded project by Utada Hikaru, showcasing melody, production, and performance within the Japanese popular-music landscape.","2022-02-23","Japanese / English"
"Ball Lightning","Liu Cixin","Book","Ball Lightning (2004) is a novel by Liu Cixin that weaves personal voice with history, family, and place across its chapters.","2004-01-01","Mandarin"
"Bandish Bandits","Anand Tiwari","TV Show","Bandish Bandits follows an ensemble through shifting relationships and plot turns; by Anand Tiwari, it represents a notable Indian entry in contemporary TV.","2020-08-04","Hindi"
"Barfi!","Pritam","Music","Barfi! (2012), from Pritam, collects tracks that highlight tone, arrangement, and era-defining studio choices in Indian pop and soundtrack culture.","2012-08-14","Hindi"
"Battle Royale","Kinji Fukasaku","Movie","Released in 2000, Battle Royale is a Japanese feature shaped by Kinji Fukasaku, pairing strong performances with a clear sense of place and pacing.","2000-12-16","Japanese"
"BE","BTS","Music","BE (2020), from BTS, collects tracks that highlight tone, arrangement, and era-defining studio choices in South Korean pop and soundtrack culture.","2020-11-20","Korean / English"
"Be the Cowboy","Mitski","Music","Be the Cowboy (2018), from Mitski, collects tracks that highlight tone, arrangement, and era-defining studio choices in American pop and soundtrack culture.","2018-08-17","English"
"Beef","Lee Sung Jin","TV Show","A darkly comic series about a road-rage encounter that spirals into obsession and exposes class and mental health pressures in Asian American lives.","2023-04-06","English"
"Belle","Mamoru Hosoda","Movie","Belle (2021) is a Japanese film by Mamoru Hosoda, following characters through conflict and consequence with a distinctive visual and narrative voice.","2021-07-16","Japanese"
"Bend It Like Beckham","Gurinder Chadha","Movie","Bend It Like Beckham (2002) is a British film directed by Gurinder Chadha, balancing character drama with memorable set pieces and tone.","2002-04-12","English / Punjabi"
"Bestiary","K-Ming Chang","Book","K-Ming Chang's Bestiary (2020) mixes intimate scenes with wider social backdrop, anchored in American and diaspora storytelling traditions.","2020-09-29","English"
"Better Days","Derek Tsang","Movie","Better Days (2019) is a Chinese film by Derek Tsang, following characters through conflict and consequence with a distinctive visual and narrative voice.","2019-10-25","Mandarin"
"Beware of the Dogs","Stella Donnelly","Music","Beware of the Dogs (2019) is a recorded project by Stella Donnelly, showcasing melody, production, and performance within the Australian popular-music landscape.","2019-03-08","English"
"Black Myth: Wukong","Game Science","Video game","Black Myth: Wukong (2024) is a game by Game Science, combining systems, world-building, and play feel associated with Chinese studios and design traditions.","2024-08-20","Mandarin / English"
"Blasian Narratives","Jivan Atman, Victoria Thomason, and Lysander Puccio","Podcast","Conversations at the intersection of Black and Asian diasporas exploring solidarity history and everyday kinship.","2016-01-01","English"
"Blinded by the Light","Gurinder Chadha","Movie","Blinded by the Light (2019) is a British film by Gurinder Chadha, following characters through conflict and consequence with a distinctive visual and narrative voice.","2019-08-14","English"
"Bling Empire","Netflix","TV Show","A reality series following wealthy Asian Americans in Los Angeles that sparked debate about representation spectacle and community.","2021-01-15","English"
"Blue Bayou","Justin Chon","Movie","Blue Bayou (2021) is an American film directed by Justin Chon, balancing character drama with memorable set pieces and tone.","2021-09-17","English"
"Blue Eye Samurai","Jane Wu","TV Show","An American show led by Jane Wu, Blue Eye Samurai premiered around 2023 and blends episodic hooks with season-long arcs and production polish.","2023-11-03","English"
"Boat People","Ann Hui","Movie","Released in 1982, Boat People is a Hong Kong feature shaped by Ann Hui, pairing strong performances with a clear sense of place and pacing.","1982-10-13","Cantonese"
"Bombay","A. R. Rahman","Music","Bombay (1995), from A. R. Rahman, collects tracks that highlight tone, arrangement, and era-defining studio choices in Indian pop and soundtrack culture.","1995-05-12","Tamil / Hindi"
"Bone","Jeff Smith","Graphic novel","Bone (1991) is a graphic novel by Jeff Smith, pairing panel rhythm and dialogue with a strong visual identity rooted in American comics culture.","1991-07-01","English"
"Books and Boba","Marvin Yueh and Reera Yoo","Podcast","Books and Boba is a show from Marvin Yueh and Reera Yoo, mixing interviews, commentary, and stories aimed at listeners curious about culture, identity, and community.","2018-01-01","English"
"BOOTLEG","Kenshi Yonezu","Music","BOOTLEG (2017), from Kenshi Yonezu, collects tracks that highlight tone, arrangement, and era-defining studio choices in Japanese pop and soundtrack culture.","2017-11-01","Japanese"
"Born Pink","BLACKPINK","Music","Born Pink (2022), from BLACKPINK, collects tracks that highlight tone, arrangement, and era-defining studio choices in South Korean pop and soundtrack culture.","2022-09-16","Korean / English"
"Breasts and Eggs","Mieko Kawakami","Book","Breasts and Eggs (2008) is a novel by Mieko Kawakami that weaves personal voice with history, family, and place across its chapters.","2008-09-26","Japanese"
"Brick Lane","Sarah Gavron","Movie","Brick Lane (2007) is a British film by Sarah Gavron, following characters through conflict and consequence with a distinctive visual and narrative voice.","2007-11-16","English / Bengali"
"Broken Stars","Ken Liu","Book","Ken Liu's Broken Stars (2019) mixes intimate scenes with wider social backdrop, anchored in American and diaspora storytelling traditions.","2019-02-19","English"
"Broker","Hirokazu Kore-eda","Movie","This 2022 South Korean release, Broker, is helmed by Hirokazu Kore-eda and sits among standout work from its era for mood, story, and craft.","2022-05-26","Korean"
"Bullet in the Head","John Woo","Movie","This 1990 Hong Kong release, Bullet in the Head, is helmed by John Woo and sits among standout work from its era for mood, story, and craft.","1990-08-18","Cantonese"
"Bunohan","Dain Said","Movie","Released in 2011, Bunohan is a Malaysian feature shaped by Dain Said, pairing strong performances with a clear sense of place and pacing.","2011-02-11","Malay"
"Burning","Lee Chang-dong","Movie","Burning (2018) is a South Korean film directed by Lee Chang-dong, balancing character drama with memorable set pieces and tone.","2018-05-17","Korean"
"Cardcaptor Sakura","Morio Asaka","Anime","This Japanese anime from 1998, Cardcaptor Sakura, is associated with Morio Asaka and mixes action, emotion, and distinctive art direction.","1998-04-07","Japanese"
"Castaway on the Moon","Lee Hae-jun","Movie","Released in 2009, Castaway on the Moon is a South Korean feature shaped by Lee Hae-jun, pairing strong performances with a clear sense of place and pacing.","2009-05-14","Korean"
"Chainsaw Man","Ryu Nakayama","Anime","This Japanese anime from 2022, Chainsaw Man, is associated with Ryu Nakayama and mixes action, emotion, and distinctive art direction.","2022-10-12","Japanese"
"Chungking Express","Wong Kar-wai","Movie","Chungking Express (1994) is a Hong Kong film directed by Wong Kar-wai, balancing character drama with memorable set pieces and tone.","1994-07-14","Cantonese"
"City Zoo","G.E.M.","Music","City Zoo (2019), from G.E.M., collects tracks that highlight tone, arrangement, and era-defining studio choices in Hong Kong pop and soundtrack culture.","2019-12-27","Mandarin"
"Cobalt Blue","Sachin Kundalkar","Book","In Cobalt Blue, Sachin Kundalkar traces characters through memory, migration, and choice; the 2006 publication remains a readable entry point into Indian letters and ideas.","2006-01-01","Marathi"
"Cold Fish","Sion Sono","Movie","Released in 2010, Cold Fish is a Japanese feature shaped by Sion Sono, pairing strong performances with a clear sense of place and pacing.","2010-09-07","Japanese"
"Columbus","Kogonada","Movie","Released in 2017, Columbus is an American feature shaped by Kogonada, pairing strong performances with a clear sense of place and pacing.","2017-08-04","English"
"Comrades Almost a Love Story","Peter Chan","Movie","Released in 1996, Comrades Almost a Love Story is a Hong Kong feature shaped by Peter Chan, pairing strong performances with a clear sense of place and pacing.","1996-11-02","Cantonese"
"Confessions","Tetsuya Nakashima","Movie","Released in 2010, Confessions is a Japanese feature shaped by Tetsuya Nakashima, pairing strong performances with a clear sense of place and pacing.","2010-06-05","Japanese"
"Convenience Store Woman","Sayaka Murata","Book","Convenience Store Woman (2016) is a novel by Sayaka Murata that weaves personal voice with history, family, and place across its chapters.","2016-07-27","Japanese"
"Court","Chaitanya Tamhane","Movie","Court (2014) is an Indian film by Chaitanya Tamhane, following characters through conflict and consequence with a distinctive visual and narrative voice.","2014-03-26","Marathi"
"Cowboy Bebop","Shinichiro Watanabe","Anime","Cowboy Bebop (1998) is a Japanese animated series by Shinichiro Watanabe, known for pacing, design, and serialized storytelling that built a wide fan base.","1998-04-03","Japanese"
"Crash Landing on You","Lee Jeong-hyo","TV Show","Crash Landing on You follows an ensemble through shifting relationships and plot turns; by Lee Jeong-hyo, it represents a notable South Korean entry in contemporary TV.","2019-12-14","Korean"
"Crazy Rich Asians","Jon M. Chu","Movie","A romantic comedy that became a cultural moment for representation while playfully engaging class and diaspora identity in Singapore.","2018-08-15","English"
"Crouching Tiger Hidden Dragon","Ang Lee","Movie","This 2000 Taiwanese release, Crouching Tiger Hidden Dragon, is helmed by Ang Lee and sits among standout work from its era for mood, story, and craft.","2000-07-07","Mandarin"
"Cursed Bunny","Bora Chung","Book","Cursed Bunny (2021) is a novel by Bora Chung that weaves personal voice with history, family, and place across its chapters.","2021-10-05","Korean"
"Dangal","Nitesh Tiwari","Movie","This 2016 Indian release, Dangal, is helmed by Nitesh Tiwari and sits among standout work from its era for mood, story, and craft.","2016-12-23","Hindi"
"Date While You Wait","Patrick G. Lee","Documentary","Shot through an American lens, Date While You Wait (2018) comes from filmmaker Patrick G. Lee and asks viewers to sit with facts, context, and human detail.","2018-01-01","English"
"Dawn to Dusk","Faye Wong","Music","Dawn to Dusk (1994), from Faye Wong, collects tracks that highlight tone, arrangement, and era-defining studio choices in Hong Kong pop and soundtrack culture.","1994-06-29","Cantonese"
"Dear Asian Americans","Jerry Won","Podcast","Dear Asian Americans is a show by Jerry Won, mixing interviews, commentary, and stories aimed at listeners curious about culture, identity, and community.","2020-01-01","English"
"Death Note","Tetsuro Araki","Anime","Death Note (2006) is a Japanese animated series by Tetsuro Araki, known for pacing, design, and serialized storytelling that built a wide fan base.","2006-10-04","Japanese"
"Death Stranding","Hideo Kojima","Video game","Death Stranding (2019) is a game by Hideo Kojima, combining systems, world-building, and play feel associated with Japanese studios and design traditions.","2019-11-08","English"
"Deaths End","Liu Cixin","Book","Deaths End (2010) is a novel by Liu Cixin that weaves personal voice with history, family, and place across its chapters.","2010-11-01","Mandarin"
"Decision to Leave","Park Chan-wook","Movie","Decision to Leave (2022) is a South Korean film directed by Park Chan-wook, balancing character drama with memorable set pieces and tone.","2022-06-29","Korean"
"Delhi Crime","Richie Mehta","TV Show","Delhi Crime (2019 debut) is an Indian series by Richie Mehta, built for long-form storytelling, recurring characters, and serialized stakes.","2019-03-22","Hindi / English"
"Delhi-6","A. R. Rahman","Music","Delhi-6 (2009) is a recorded project by A. R. Rahman, showcasing melody, production, and performance within the Indian popular-music landscape.","2009-02-20","Hindi"
"Delicacies Destiny","Guo Hu","TV Show","Delicacies Destiny follows an ensemble through shifting relationships and plot turns; by Guo Hu, it represents a notable Chinese entry in contemporary TV.","2022-06-07","Mandarin"
"Demon Slayer","Haruo Sotozaki","Anime","Demon Slayer (2019) is a Japanese animated series by Haruo Sotozaki, known for pacing, design, and serialized storytelling that built a wide fan base.","2019-04-06","Japanese"
"Departures","Yojiro Takita","Movie","Departures (2008) is a Japanese film directed by Yojiro Takita, balancing character drama with memorable set pieces and tone.","2008-08-23","Japanese"
"Dilwale Dulhania Le Jayenge","Aditya Chopra","Movie","Dilwale Dulhania Le Jayenge (1995) is an Indian film directed by Aditya Chopra, balancing character drama with memorable set pieces and tone.","1995-10-20","Hindi"
"Dirty Pretty Things","Stephen Frears","Movie","Dirty Pretty Things (2002) is a British film by Stephen Frears, following characters through conflict and consequence with a distinctive visual and narrative voice.","2002-12-13","English"
"Disorientation","Elaine Hsieh Chou","Book","In Disorientation, Elaine Hsieh Chou traces characters through memory, migration, and choice; the 2022 publication remains a readable entry point into American letters and ideas.","2022-03-22","English"
"Dragon Ball Z","Daisuke Nishio","Anime","Dragon Ball Z (1989) is a Japanese animated series by Daisuke Nishio, known for pacing, design, and serialized storytelling that built a wide fan base.","1989-04-26","Japanese"
"Dragon Hoops","Gene Luen Yang","Graphic novel","Dragon Hoops (2020) is a graphic novel by Gene Luen Yang, pairing panel rhythm and dialogue with a strong visual identity rooted in American comics culture.","2020-03-17","English"
"Drishyam","Jeethu Joseph","Movie","Drishyam (2013) is an Indian film by Jeethu Joseph, following characters through conflict and consequence with a distinctive visual and narrative voice.","2013-12-19","Malayalam"
"Drive My Car","Ryusuke Hamaguchi","Movie","Drive My Car (2021) is a Japanese film directed by Ryusuke Hamaguchi, balancing character drama with memorable set pieces and tone.","2021-07-11","Japanese"
"Drunken Master II","Lau Kar-leung","Movie","Drunken Master II (1994) is a Hong Kong film by Lau Kar-leung, following characters through conflict and consequence with a distinctive visual and narrative voice.","1994-02-03","Cantonese"
"Earthlings","Sayaka Murata","Book","Sayaka Murata's Earthlings (2018) mixes intimate scenes with wider social backdrop, anchored in Japanese and diaspora storytelling traditions.","2018-02-22","Japanese"
"Eat Drink Man Woman","Ang Lee","Movie","This 1994 Taiwanese release, Eat Drink Man Woman, is helmed by Ang Lee and sits among standout work from its era for mood, story, and craft.","1994-07-02","Mandarin"
"Elden Ring","Hidetaka Miyazaki","Video game","Elden Ring (2022) is a game by Hidetaka Miyazaki, combining systems, world-building, and play feel associated with Japanese studios and design traditions.","2022-02-25","English"
"Eternal Love","Lin Yu Fen","TV Show","Eternal Love (2017 debut) is a Chinese series by Lin Yu Fen, built for long-form storytelling, recurring characters, and serialized stakes.","2017-01-30","Mandarin"
"Everything Everywhere All at Once","Daniel Kwan and Daniel Scheinert","Movie","A multiverse adventure that centers an Asian American family and asks what kindness can hold when the world feels impossibly fractured.","2022-03-25","English"
"Exit","Lee Sang-geun","Movie","Exit (2019) is a South Korean film by Lee Sang-geun, following characters through conflict and consequence with a distinctive visual and narrative voice.","2019-07-31","Korean"
"Extraordinary Attorney Woo","Yoo In-shik","TV Show","Extraordinary Attorney Woo follows an ensemble through shifting relationships and plot turns; by Yoo In-shik, it represents a notable South Korean entry in contemporary TV.","2022-06-29","Korean"
"Extreme Job","Lee Byeong-heon","Movie","Released in 2019, Extreme Job is a South Korean feature shaped by Lee Byeong-heon, pairing strong performances with a clear sense of place and pacing.","2019-01-23","Korean"
"Eyes Wide Open","TWICE","Music","Eyes Wide Open (2020) is a recorded project by TWICE, showcasing melody, production, and performance within the South Korean popular-music landscape.","2020-10-26","Korean"
"Face the Sun","SEVENTEEN","Music","Face the Sun (2022) is a recorded project by SEVENTEEN, showcasing melody, production, and performance within the South Korean popular-music landscape.","2022-05-27","Korean"
"Fallen Angels","Wong Kar-wai","Movie","Fallen Angels (1995) is a Hong Kong film directed by Wong Kar-wai, balancing character drama with memorable set pieces and tone.","1995-09-06","Cantonese"
"Fantasy","Mariya Takeuchi","Music","Fantasy (1999) is a recorded project by Mariya Takeuchi, showcasing melody, production, and performance within the Japanese popular-music landscape.","1999-11-17","Japanese"
"Fantasy","Jay Chou","Music","Fantasy (2001) is a recorded project by Jay Chou, showcasing melody, production, and performance within the Taiwanese popular-music landscape.","2001-09-20","Mandarin"
"Far East Deep South","Larissa Lam and Baldwin Chiu","Documentary","Follows a Chinese American family uncovering their Mississippi roots and the hidden history of Chinese immigrants in the Jim Crow South.","2020-09-01","English"
"Farewell My Concubine","Chen Kaige","Movie","Farewell My Concubine (1993) is a Chinese film directed by Chen Kaige, balancing character drama with memorable set pieces and tone.","1993-01-26","Mandarin"
"Farzi","Raj and DK","TV Show","Farzi (2023 debut) is an Indian series from Raj and DK, built for long-form storytelling, recurring characters, and serialized stakes.","2023-02-10","Hindi"
"Feeling Asian","Youngmi Mayer and Brian Park","Podcast","Feeling Asian is a show from Youngmi Mayer and Brian Park, mixing interviews, commentary, and stories aimed at listeners curious about culture, identity, and community.","2020-01-01","English"
"Final Fantasy VII","Square","Video game","Final Fantasy VII (1997) is a game by Square, combining systems, world-building, and play feel associated with Japanese studios and design traditions.","1997-01-31","Japanese"
"Final Fantasy X","Square","Video game","Final Fantasy X (2001) is a game by Square, combining systems, world-building, and play feel associated with Japanese studios and design traditions.","2001-07-19","Japanese"
"Fire Island","Andrew Ahn","Movie","A modern Pride and Prejudice riff set among queer Asian American friends on vacation blending rom-com beats with found family.","2022-06-03","English"
"First Love","Kanchiku Yuri","TV Show","First Love (2022 debut) is a Japanese series by Kanchiku Yuri, built for long-form storytelling, recurring characters, and serialized stakes.","2022-11-24","Japanese"
"First Love","Utada Hikaru","Music","First Love (1999) is a recorded project by Utada Hikaru, showcasing melody, production, and performance within the Japanese popular-music landscape.","1999-03-10","Japanese"
"FML","SEVENTEEN","Music","FML (2023), from SEVENTEEN, collects tracks that highlight tone, arrangement, and era-defining studio choices in South Korean pop and soundtrack culture.","2023-04-24","Korean"
"Formula of Love","TWICE","Music","Formula of Love (2021) is a recorded project by TWICE, showcasing melody, production, and performance within the South Korean popular-music landscape.","2021-11-12","Korean"
"Four Treasures of the Sky","Jenny Tinghui Zhang","Book","Jenny Tinghui Zhang's Four Treasures of the Sky (2022) mixes intimate scenes with wider social backdrop, anchored in American and diaspora storytelling traditions.","2022-04-05","English"
"Fresh Off the Boat","Nahnatchka Khan","TV Show","An American show led by Nahnatchka Khan, Fresh Off the Boat premiered around 2015 and blends episodic hooks with season-long arcs and production polish.","2015-02-04","English"
"From What Is Before","Lav Diaz","Movie","This 2014 Filipino release, From What Is Before, is helmed by Lav Diaz and sits among standout work from its era for mood, story, and craft.","2014-07-03","Filipino"
"Fruits Basket","Akitaro Daichi","Anime","Fruits Basket (2001) is a Japanese animated series by Akitaro Daichi, known for pacing, design, and serialized storytelling that built a wide fan base.","2001-07-05","Japanese"
"Fruits Basket","Natsuki Takaya","Manga","Fruits Basket (1998) is serialized manga by Natsuki Takaya, pairing panel rhythm and dialogue with a strong visual identity rooted in Japanese comics culture.","1998-07-20","Japanese"
"Fu-zao","Faye Wong","Music","Fu-zao (1996), from Faye Wong, collects tracks that highlight tone, arrangement, and era-defining studio choices in Hong Kong pop and soundtrack culture.","1996-06-03","Mandarin"
"Fullmetal Alchemist: Brotherhood","Yasuhiro Irie","Anime","This Japanese anime from 2009, Fullmetal Alchemist: Brotherhood, is associated with Yasuhiro Irie and mixes action, emotion, and distinctive art direction.","2009-04-05","Japanese"
"Furie","Le Van Kiet","Movie","Released in 2019, Furie is a Vietnamese feature shaped by Le Van Kiet, pairing strong performances with a clear sense of place and pacing.","2019-02-22","Vietnamese"
"Genesis","JJ Lin","Music","Genesis (2014) is a recorded project by JJ Lin, showcasing melody, production, and performance within the Singaporean popular-music landscape.","2014-12-27","Mandarin"
"Genshin Impact","miHoYo","Video game","Genshin Impact (2020) is a game by miHoYo, combining systems, world-building, and play feel associated with Chinese studios and design traditions.","2020-09-28","Mandarin / English"
"Get Up","NewJeans","Music","Get Up (2023), from NewJeans, collects tracks that highlight tone, arrangement, and era-defining studio choices in South Korean pop and soundtrack culture.","2023-07-21","Korean"
"Ghachar Ghochar","Vivek Shanbhag","Book","Ghachar Ghochar (2013) is a novel by Vivek Shanbhag that weaves personal voice with history, family, and place across its chapters.","2013-01-01","Kannada"
"Ghost in the Shell","Mamoru Oshii","Movie","This 1995 Japanese release, Ghost in the Shell, is helmed by Mamoru Oshii and sits among standout work from its era for mood, story, and craft.","1995-11-18","Japanese"
"Ghost in the Shell","Exact / Production I.G.","Video game","Ghost in the Shell (1997) is a game by Exact / Production I.G., combining systems, world-building, and play feel associated with Japanese studios and design traditions.","1997-07-17","Japanese"
