"title","creator","type","description","release_date","language"
"All of Us Are Dead","Lee Jae-kyoo","TV Show","All of Us Are Dead offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2022-01-28","Korean"
"Along with the Gods: The Two Worlds","Kim Yong-hwa","Movie","Along with the Gods: The Two Worlds remains a touchstone in South Korea cultural studies for how it stages identity history and community with clarity and emotional precision.","2017-12-20","Korean"
"Always Be My Maybe","Nahnatchka Khan","Movie","Always Be My Maybe is a widely taught movie from United States that helps audiences compare how family migration and power show up on screen and in everyday life.","2019-05-31","English"
"American Born Chinese","Gene Luen Yang","Book","A graphic novel braiding three tales about identity myth and the everyday work of seeing yourself clearly.","2006-09-05","English"
"American Born Chinese","Destin Daniel Cretton","TV Show","American Born Chinese offers a memorable entry point into United States media histories inviting discussion of language genre conventions and transnational audiences.","2023-05-24","English"
"Amit","Faye Wong","Music","Scholars and community educators cite Amit when mapping how Hong Kong creators experiment with form while staying rooted in lived experience.","2009-10-07","Mandarin"
"And She Could Be Next","Grace Lee","Documentary","And She Could Be Next offers a memorable entry point into United States media histories inviting discussion of language genre conventions and transnational audiences.","2020-06-01","English"
"Andhadhun","Sriram Raghavan","Movie","Andhadhun is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2018-10-05","Hindi"
"Animal Crossing: New Horizons","Nintendo","Video game","Animal Crossing: New Horizons is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2020-03-20","Japanese / English"
"Antifragile","LE SSERAFIM","Music","Antifragile helps audiences practice close attention to nuance in South Korea narratives where humor grief and resilience often share the same scene.","2022-10-17","Korean"
"ARRahman","A. R. Rahman","Music","ARRahman is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2008-08-15","Hindi / Tamil"
"Asian Americana","Quincy Surasmith","Podcast","Asian Americana remains a touchstone in United States cultural studies for how it stages identity history and community with clarity and emotional precision.","2016-01-01","English"
"Asian Americans","Grace Lee","Documentary","Classrooms and film clubs often return to Asian Americans when discussing United States storytelling traditions diaspora voices and the politics of representation.","2020-05-11","English"
"Asian Boss Girl","Various","Podcast","Asian Boss Girl helps audiences practice close attention to nuance in United States narratives where humor grief and resilience often share the same scene.","2018-01-01","English"
"Asian Not Asian","Youngmi Mayer and Brian Park","Podcast","Asian Not Asian remains a touchstone in United States cultural studies for how it stages identity history and community with clarity and emotional precision.","2018-01-01","English"
"Aspirants","Apoorv Singh Karki","TV Show","Aspirants is a widely taught tv show from India that helps audiences compare how family migration and power show up on screen and in everyday life.","2021-04-07","Hindi"
"Attack on Titan","Tetsuro Araki","Anime","Attack on Titan helps audiences practice close attention to nuance in Japan narratives where humor grief and resilience often share the same scene.","2013-04-07","Japanese"
"Audition","Takashi Miike","Movie","Audition is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","1999-10-06","Japanese"
"Avatar: The Last Airbender","Michael Dante DiMartino","TV Show","Avatar: The Last Airbender helps audiences practice close attention to nuance in United States narratives where humor grief and resilience often share the same scene.","2005-02-21","English"
"Baahubali 2: The Conclusion","S. S. Rajamouli","Movie","Baahubali 2: The Conclusion remains a touchstone in India cultural studies for how it stages identity history and community with clarity and emotional precision.","2017-04-28","Telugu"
"Baahubali: The Beginning","S. S. Rajamouli","Movie","Baahubali: The Beginning offers a memorable entry point into India media histories inviting discussion of language genre conventions and transnational audiences.","2015-07-10","Telugu"
"Babel","R. F. Kuang","Book","Babel is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2022-08-23","English"
"Bad Asian Podcast","Various","Podcast","Bad Asian Podcast remains a touchstone in United States cultural studies for how it stages identity history and community with clarity and emotional precision.","2019-01-01","English"
"Bad Axe","David Siev","Documentary","Classrooms and film clubs often return to Bad Axe when discussing United States storytelling traditions diaspora voices and the politics of representation.","2022-11-11","English"
"Bad Genius","Nattawut Poonpiriya","Movie","Classrooms and film clubs often return to Bad Genius when discussing Thailand storytelling traditions diaspora voices and the politics of representation.","2017-05-03","Thai"
"Bad Mode","Utada Hikaru","Music","Bad Mode helps audiences practice close attention to nuance in Japan narratives where humor grief and resilience often share the same scene.","2022-02-23","Japanese / English"
"Ball Lightning","Liu Cixin","Book","Scholars and community educators cite Ball Lightning when mapping how China creators experiment with form while staying rooted in lived experience.","2004-01-01","Mandarin"
"Bandish Bandits","Anand Tiwari","TV Show","Bandish Bandits helps audiences practice close attention to nuance in India narratives where humor grief and resilience often share the same scene.","2020-08-04","Hindi"
"Barfi!","Pritam","Music","Classrooms and film clubs often return to Barfi! when discussing India storytelling traditions diaspora voices and the politics of representation.","2012-08-14","Hindi"
"Battle Royale","Kinji Fukasaku","Movie","Scholars and community educators cite Battle Royale when mapping how Japan creators experiment with form while staying rooted in lived experience.","2000-12-16","Japanese"
"BE","BTS","Music","Classrooms and film clubs often return to BE when discussing South Korea storytelling traditions diaspora voices and the politics of representation.","2020-11-20","Korean / English"
"Be the Cowboy","Mitski","Music","Be the Cowboy is a widely taught music from United States that helps audiences compare how family migration and power show up on screen and in everyday life.","2018-08-17","English"
"Beef","Lee Sung Jin","TV Show","A darkly comic series about a road-rage encounter that spirals into obsession and exposes class and mental health pressures in Asian American lives.","2023-04-06","English"
"Belle","Mamoru Hosoda","Movie","Scholars and community educators cite Belle when mapping how Japan creators experiment with form while staying rooted in lived experience.","2021-07-16","Japanese"
"Bend It Like Beckham","Gurinder Chadha","Movie","Classrooms and film clubs often return to Bend It Like Beckham when discussing United Kingdom storytelling traditions diaspora voices and the politics of representation.","2002-04-12","English / Punjabi"
"Bestiary","K-Ming Chang","Book","This book from United States continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2020-09-29","English"
"Better Days","Derek Tsang","Movie","Better Days remains a touchstone in China cultural studies for how it stages identity history and community with clarity and emotional precision.","2019-10-25","Mandarin"
"Beware of the Dogs","Stella Donnelly","Music","Classrooms and film clubs often return to Beware of the Dogs when discussing Australia storytelling traditions diaspora voices and the politics of representation.","2019-03-08","English"
"Black Myth: Wukong","Game Science","Video game","Black Myth: Wukong remains a touchstone in China cultural studies for how it stages identity history and community with clarity and emotional precision.","2024-08-20","Mandarin / English"
"Blasian Narratives","Various hosts","Podcast","Conversations at the intersection of Black and Asian diasporas exploring solidarity history and everyday kinship.","2016-01-01","English"
"Blinded by the Light","Gurinder Chadha","Movie","Classrooms and film clubs often return to Blinded by the Light when discussing United Kingdom storytelling traditions diaspora voices and the politics of representation.","2019-08-14","English"
"Bling Empire","Netflix","TV Show","A reality series following wealthy Asian Americans in Los Angeles that sparked debate about representation spectacle and community.","2021-01-15","English"
"Blue Bayou","Justin Chon","Movie","Scholars and community educators cite Blue Bayou when mapping how United States creators experiment with form while staying rooted in lived experience.","2021-09-17","English"
"Blue Eye Samurai","Jane Wu","TV Show","This tv show from United States continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2023-11-03","English"
"Boat People","Ann Hui","Movie","Boat People remains a touchstone in Hong Kong cultural studies for how it stages identity history and community with clarity and emotional precision.","1982-10-13","Cantonese"
"Bombay","A. R. Rahman","Music","Bombay offers a memorable entry point into India media histories inviting discussion of language genre conventions and transnational audiences.","1995-05-12","Tamil / Hindi"
"Bone","Jeff Smith","Graphic novel","Bone is a widely taught graphic novel from United States that helps audiences compare how family migration and power show up on screen and in everyday life.","1991-07-01","English"
"Books and Boba","Various","Podcast","Books and Boba remains a touchstone in United States cultural studies for how it stages identity history and community with clarity and emotional precision.","2018-01-01","English"
"BOOTLEG","Kenshi Yonezu","Music","BOOTLEG helps audiences practice close attention to nuance in Japan narratives where humor grief and resilience often share the same scene.","2017-11-01","Japanese"
"Born Pink","BLACKPINK","Music","Born Pink is a widely taught music from South Korea that helps audiences compare how family migration and power show up on screen and in everyday life.","2022-09-16","Korean / English"
"Breasts and Eggs","Mieko Kawakami","Book","Scholars and community educators cite Breasts and Eggs when mapping how Japan creators experiment with form while staying rooted in lived experience.","2008-09-26","Japanese"
"Brick Lane","Sarah Gavron","Movie","Brick Lane is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2007-11-16","English / Bengali"
"Broken Stars","Ken Liu","Book","Broken Stars helps audiences practice close attention to nuance in United States narratives where humor grief and resilience often share the same scene.","2019-02-19","English"
"Broker","Hirokazu Kore-eda","Movie","Broker remains a touchstone in South Korea cultural studies for how it stages identity history and community with clarity and emotional precision.","2022-05-26","Korean"
"Bullet in the Head","John Woo","Movie","This movie from Hong Kong continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","1990-08-18","Cantonese"
"Bunohan","Dain Said","Movie","Bunohan helps audiences practice close attention to nuance in Malaysia narratives where humor grief and resilience often share the same scene.","2011-02-11","Malay"
"Burning","Lee Chang-dong","Movie","Burning offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2018-05-17","Korean"
"Cardcaptor Sakura","Morio Asaka","Anime","Classrooms and film clubs often return to Cardcaptor Sakura when discussing Japan storytelling traditions diaspora voices and the politics of representation.","1998-04-07","Japanese"
"Castaway on the Moon","Lee Hae-jun","Movie","Classrooms and film clubs often return to Castaway on the Moon when discussing South Korea storytelling traditions diaspora voices and the politics of representation.","2009-05-14","Korean"
"Chainsaw Man","Ryu Nakayama","Anime","Scholars and community educators cite Chainsaw Man when mapping how Japan creators experiment with form while staying rooted in lived experience.","2022-10-12","Japanese"
"Chungking Express","Wong Kar-wai","Movie","Chungking Express is a widely taught movie from Hong Kong that helps audiences compare how family migration and power show up on screen and in everyday life.","1994-07-14","Cantonese"
"City Zoo","G.E.M.","Music","City Zoo is a widely taught music from Hong Kong that helps audiences compare how family migration and power show up on screen and in everyday life.","2019-12-27","Mandarin"
"Cobalt Blue","Sachin Kundalkar","Book","Cobalt Blue is a widely taught book from India that helps audiences compare how family migration and power show up on screen and in everyday life.","2006-01-01","Marathi"
"Cold Fish","Sion Sono","Movie","This movie from Japan continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2010-09-07","Japanese"
"Columbus","Kogonada","Movie","Columbus is a widely taught movie from United States that helps audiences compare how family migration and power show up on screen and in everyday life.","2017-08-04","English"
"Comrades Almost a Love Story","Peter Chan","Movie","Scholars and community educators cite Comrades Almost a Love Story when mapping how Hong Kong creators experiment with form while staying rooted in lived experience.","1996-11-02","Cantonese"
"Confessions","Tetsuya Nakashima","Movie","This movie from Japan continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2010-06-05","Japanese"
"Convenience Store Woman","Sayaka Murata","Book","Convenience Store Woman offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2016-07-27","Japanese"
"Court","Chaitanya Tamhane","Movie","Court is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2014-03-26","Marathi"
"Cowboy Bebop","Shinichiro Watanabe","Anime","Cowboy Bebop is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","1998-04-03","Japanese"
"Crash Landing on You","Lee Jeong-hyo","TV Show","Crash Landing on You offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2019-12-14","Korean"
"Crazy Rich Asians","Jon M. Chu","Movie","A romantic comedy that became a cultural moment for representation while playfully engaging class and diaspora identity in Singapore.","2018-08-15","English"
"Crouching Tiger Hidden Dragon","Ang Lee","Movie","Crouching Tiger Hidden Dragon is a widely taught movie from Taiwan that helps audiences compare how family migration and power show up on screen and in everyday life.","2000-07-07","Mandarin"
"Cursed Bunny","Bora Chung","Book","Cursed Bunny helps audiences practice close attention to nuance in South Korea narratives where humor grief and resilience often share the same scene.","2021-10-05","Korean"
"Dangal","Nitesh Tiwari","Movie","Dangal helps audiences practice close attention to nuance in India narratives where humor grief and resilience often share the same scene.","2016-12-23","Hindi"
"Date While You Wait","Patrick G. Lee","Documentary","Classrooms and film clubs often return to Date While You Wait when discussing United States storytelling traditions diaspora voices and the politics of representation.","2018-01-01","English"
"Dawn to Dusk","Faye Wong","Music","Dawn to Dusk offers a memorable entry point into Hong Kong media histories inviting discussion of language genre conventions and transnational audiences.","1994-06-29","Cantonese"
"Dear Asian Americans","Jerry Won","Podcast","Dear Asian Americans is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2020-01-01","English"
"Death Note","Tetsuro Araki","Anime","Classrooms and film clubs often return to Death Note when discussing Japan storytelling traditions diaspora voices and the politics of representation.","2006-10-04","Japanese"
"Death Stranding","Hideo Kojima","Video game","Death Stranding remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","2019-11-08","English"
"Deaths End","Liu Cixin","Book","Deaths End offers a memorable entry point into China media histories inviting discussion of language genre conventions and transnational audiences.","2010-11-01","Mandarin"
"Decision to Leave","Park Chan-wook","Movie","Classrooms and film clubs often return to Decision to Leave when discussing South Korea storytelling traditions diaspora voices and the politics of representation.","2022-06-29","Korean"
"Delhi Crime","Richie Mehta","TV Show","Delhi Crime offers a memorable entry point into India media histories inviting discussion of language genre conventions and transnational audiences.","2019-03-22","Hindi / English"
"Delhi-6","A. R. Rahman","Music","Delhi-6 is a widely taught music from India that helps audiences compare how family migration and power show up on screen and in everyday life.","2009-02-20","Hindi"
"Delicacies Destiny","Guo Hu","TV Show","Delicacies Destiny remains a touchstone in China cultural studies for how it stages identity history and community with clarity and emotional precision.","2022-06-07","Mandarin"
"Demon Slayer","Haruo Sotozaki","Anime","Demon Slayer remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","2019-04-06","Japanese"
"Departures","Yojiro Takita","Movie","Departures helps audiences practice close attention to nuance in Japan narratives where humor grief and resilience often share the same scene.","2008-08-23","Japanese"
"Dilwale Dulhania Le Jayenge","Aditya Chopra","Movie","Classrooms and film clubs often return to Dilwale Dulhania Le Jayenge when discussing India storytelling traditions diaspora voices and the politics of representation.","1995-10-20","Hindi"
"Dirty Pretty Things","Stephen Frears","Movie","Dirty Pretty Things remains a touchstone in United Kingdom cultural studies for how it stages identity history and community with clarity and emotional precision.","2002-12-13","English"
"Disorientation","Elaine Hsieh Chou","Book","Disorientation offers a memorable entry point into United States media histories inviting discussion of language genre conventions and transnational audiences.","2022-03-22","English"
"Dragon Ball Z","Daisuke Nishio","Anime","Classrooms and film clubs often return to Dragon Ball Z when discussing Japan storytelling traditions diaspora voices and the politics of representation.","1989-04-26","Japanese"
"Dragon Hoops","Gene Luen Yang","Graphic novel","Classrooms and film clubs often return to Dragon Hoops when discussing United States storytelling traditions diaspora voices and the politics of representation.","2020-03-17","English"
"Drishyam","Jeethu Joseph","Movie","Drishyam is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2013-12-19","Malayalam"
"Drive My Car","Ryusuke Hamaguchi","Movie","Scholars and community educators cite Drive My Car when mapping how Japan creators experiment with form while staying rooted in lived experience.","2021-07-11","Japanese"
"Drunken Master II","Lau Kar-leung","Movie","Drunken Master II offers a memorable entry point into Hong Kong media histories inviting discussion of language genre conventions and transnational audiences.","1994-02-03","Cantonese"
"Earthlings","Sayaka Murata","Book","This book from Japan continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2018-02-22","Japanese"
"Eat Drink Man Woman","Ang Lee","Movie","This movie from Taiwan continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","1994-07-02","Mandarin"
"Elden Ring","Hidetaka Miyazaki","Video game","Elden Ring remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","2022-02-25","English"
"Eternal Love","Lin Yu Fen","TV Show","Classrooms and film clubs often return to Eternal Love when discussing China storytelling traditions diaspora voices and the politics of representation.","2017-01-30","Mandarin"
"Everything Everywhere All at Once","Daniel Kwan and Daniel Scheinert","Movie","A multiverse adventure that centers an Asian American family and asks what kindness can hold when the world feels impossibly fractured.","2022-03-25","English"
"Exit","Lee Sang-geun","Movie","Classrooms and film clubs often return to Exit when discussing South Korea storytelling traditions diaspora voices and the politics of representation.","2019-07-31","Korean"
"Extraordinary Attorney Woo","Yoo In-shik","TV Show","Extraordinary Attorney Woo is a widely taught tv show from South Korea that helps audiences compare how family migration and power show up on screen and in everyday life.","2022-06-29","Korean"
"Extreme Job","Lee Byeong-heon","Movie","Extreme Job helps audiences practice close attention to nuance in South Korea narratives where humor grief and resilience often share the same scene.","2019-01-23","Korean"
"Eyes Wide Open","TWICE","Music","This music from South Korea continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2020-10-26","Korean"
"Face the Sun","SEVENTEEN","Music","Face the Sun is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2022-05-27","Korean"
"Fallen Angels","Wong Kar-wai","Movie","Classrooms and film clubs often return to Fallen Angels when discussing Hong Kong storytelling traditions diaspora voices and the politics of representation.","1995-09-06","Cantonese"
"Fantasy","Mariya Takeuchi","Music","Fantasy remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","1999-11-17","Japanese"
"Fantasy","Jay Chou","Music","Fantasy remains a touchstone in Taiwan cultural studies for how it stages identity history and community with clarity and emotional precision.","2001-09-20","Mandarin"
"Far East Deep South","Larissa Lam and Baldwin Chiu","Documentary","Follows a Chinese American family uncovering their Mississippi roots and the hidden history of Chinese immigrants in the Jim Crow South.","2020-09-01","English"
"Farewell My Concubine","Chen Kaige","Movie","Classrooms and film clubs often return to Farewell My Concubine when discussing China storytelling traditions diaspora voices and the politics of representation.","1993-01-26","Mandarin"
"Farzi","Raj and DK","TV Show","Farzi offers a memorable entry point into India media histories inviting discussion of language genre conventions and transnational audiences.","2023-02-10","Hindi"
"Feeling Asian","Various","Podcast","This podcast from United States continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2020-01-01","English"
"Final Fantasy VII","Square","Video game","Final Fantasy VII helps audiences practice close attention to nuance in Japan narratives where humor grief and resilience often share the same scene.","1997-01-31","Japanese"
"Final Fantasy X","Square","Video game","Final Fantasy X is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2001-07-19","Japanese"
"Fire Island","Andrew Ahn","Movie","A modern Pride and Prejudice riff set among queer Asian American friends on vacation blending rom-com beats with found family.","2022-06-03","English"
"First Love","Kanchiku Yuri","TV Show","First Love remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","2022-11-24","Japanese"
"First Love","Utada Hikaru","Music","First Love offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","1999-03-10","Japanese"
"FML","SEVENTEEN","Music","FML is a widely taught music from South Korea that helps audiences compare how family migration and power show up on screen and in everyday life.","2023-04-24","Korean"
"Formula of Love","TWICE","Music","This music from South Korea continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2021-11-12","Korean"
"Four Treasures of the Sky","Jenny Tinghui Zhang","Book","Four Treasures of the Sky is a widely taught book from United States that helps audiences compare how family migration and power show up on screen and in everyday life.","2022-04-05","English"
"Fresh Off the Boat","Nahnatchka Khan","TV Show","Fresh Off the Boat remains a touchstone in United States cultural studies for how it stages identity history and community with clarity and emotional precision.","2015-02-04","English"
"From What Is Before","Lav Diaz","Movie","From What Is Before helps audiences practice close attention to nuance in Philippines narratives where humor grief and resilience often share the same scene.","2014-07-03","Filipino"
"Fruits Basket","Akitaro Daichi","Anime","Fruits Basket offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2001-07-05","Japanese"
"Fruits Basket","Natsuki Takaya","Manga","Fruits Basket offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","1998-07-20","Japanese"
"Fu-zao","Faye Wong","Music","Fu-zao is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","1996-06-03","Mandarin"
"Fullmetal Alchemist: Brotherhood","Yasuhiro Irie","Anime","Fullmetal Alchemist: Brotherhood is a widely taught anime from Japan that helps audiences compare how family migration and power show up on screen and in everyday life.","2009-04-05","Japanese"
"Furie","Le Van Kiet","Movie","Furie remains a touchstone in Vietnam cultural studies for how it stages identity history and community with clarity and emotional precision.","2019-02-22","Vietnamese"
"Genesis","JJ Lin","Music","Genesis is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2014-12-27","Mandarin"
"Genshin Impact","miHoYo","Video game","Genshin Impact is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2020-09-28","Mandarin / English"
"Get Up","NewJeans","Music","Get Up is a widely taught music from South Korea that helps audiences compare how family migration and power show up on screen and in everyday life.","2023-07-21","Korean"
"Ghachar Ghochar","Vivek Shanbhag","Book","Ghachar Ghochar offers a memorable entry point into India media histories inviting discussion of language genre conventions and transnational audiences.","2013-01-01","Kannada"
"Ghost in the Shell","Mamoru Oshii","Movie","Ghost in the Shell remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","1995-11-18","Japanese"
"Ghost in the Shell","Exact / Production I.G.","Video game","Scholars and community educators cite Ghost in the Shell when mapping how Japan creators experiment with form while staying rooted in lived experience.","1997-07-17","Japanese"
"Go Ahead","Ding Ziguang","TV Show","Classrooms and film clubs often return to Go Ahead when discussing China storytelling traditions diaspora voices and the politics of representation.","2020-08-10","Mandarin"
"Goblin","Lee Eung-bok","TV Show","This tv show from South Korea continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2016-12-02","Korean"
"Good Trouble","Freeform","TV Show","Includes storylines that follow young activists and artists in Los Angeles including nuanced arcs for Asian American characters navigating work and justice.","2019-01-09","English"
"Goodnight Punpun","Inio Asano","Manga","Goodnight Punpun helps audiences practice close attention to nuance in Japan narratives where humor grief and resilience often share the same scene.","2007-03-15","Japanese"
"Gook","Justin Chon","Movie","This movie from United States continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2017-08-18","English / Korean"
"Grave of the Fireflies","Isao Takahata","Movie","Classrooms and film clubs often return to Grave of the Fireflies when discussing Japan storytelling traditions diaspora voices and the politics of representation.","1988-04-16","Japanese"
"Gullak","Amrit Raj Gupta","TV Show","Gullak offers a memorable entry point into India media histories inviting discussion of language genre conventions and transnational audiences.","2019-06-27","Hindi"
"Gully Boy","Zoya Akhtar","Movie","Gully Boy remains a touchstone in India cultural studies for how it stages identity history and community with clarity and emotional precision.","2019-02-14","Hindi"
"Gully Boy","Various","Music","Scholars and community educators cite Gully Boy when mapping how India creators experiment with form while staying rooted in lived experience.","2019-02-14","Hindi"
"Haikyu!!","Susumu Mitsunaka","Anime","Haikyu!! offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2014-04-06","Japanese"
"Hale County This Morning This Evening","RaMell Ross","Documentary","Hale County This Morning This Evening remains a touchstone in United States cultural studies for how it stages identity history and community with clarity and emotional precision.","2018-02-09","English"
"Hana-bi","Takeshi Kitano","Movie","Hana-bi is a widely taught movie from Japan that helps audiences compare how family migration and power show up on screen and in everyday life.","1997-12-20","Japanese"
"Happier Than Ever","Billie Eilish","Music","Happier Than Ever is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2021-07-30","English"
"Happy Together","Wong Kar-wai","Movie","Classrooms and film clubs often return to Happy Together when discussing Hong Kong storytelling traditions diaspora voices and the politics of representation.","1997-05-30","Cantonese"
"Harakiri","Masaki Kobayashi","Movie","Harakiri is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","1962-09-16","Japanese"
"Hard Boiled","John Woo","Movie","This movie from Hong Kong continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","1992-04-16","Cantonese"
"Harold and Kumar Go to White Castle","Danny Leiner","Movie","Harold and Kumar Go to White Castle is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2004-07-30","English"
"Heartbeat","G.E.M.","Music","Heartbeat remains a touchstone in Hong Kong cultural studies for how it stages identity history and community with clarity and emotional precision.","2015-11-06","Mandarin"
"Heaven","Mieko Kawakami","Book","This book from Japan continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2009-09-10","Japanese"
